sector,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Real estate",272853.139077,290372.594491,300697.168151,314817.01261,308991.138023,315528.724721,337126.879239,342827.607212,350384.604697,360699.043052,421487.241914,430910.76739,436249.226565,436701.909542,446715.835484,451338.7827,463387.538315,473426.067376,480514.832739,583092.495791,1065638.18676,1389924.27653,1454760.3,1735181.62079,2323579.30515,2829215.5668,2921662.28751,4640657.39308,4677852.55667,4734383.84171,4857464.60894,4935654.60802,5078805.88117,5157351.78002,5320217.06573,5601391.92234,5878011.48938,6230180.2607,6278711.79947,6441318.52807,6693726.98833,8058581.65346,8297520.63932,8732833.62281,9030555.09248,9480932.22921,9719517.91186,9696796.24655,4238677.66566
"Industry, including energy",1037264.03524,1126669.21473,1147982.75091,1203034.7449,1230238.22563,1231096.47352,1383669.85998,1368560.82821,1385982.2677,1412654.06668,2219781.7793,2179014.07435,2133343.00326,2119525.21603,2169710.26451,2209031.36004,2193878.21157,2162771.29459,2188890.31096,2374516.43109,3495110.20604,4583955.17107,4577351.43879,5230261.19674,6771562.68997,8102006.04059,8113631.43697,11184142.8154,11202361.8096,11263151.0962,11715631.3889,11506566.1817,11522777.3443,11870282.4325,12597748.4009,13433408.0961,14459199.1631,15212217.8945,15447161.3612,14671167.6779,16694422.8755,18894390.6262,19177795.1958,19673317.3439,20184869.9394,20511321.5592,20623235.7023,21124337.1144,14059100.578
"Public administration, defence, education, health, social work",664272.062591,731730.296365,767382.304534,780492.574953,797947.32209,878870.481117,978113.426083,991877.506086,1027187.49894,1043177.51868,1136793.54884,1140729.46282,1142869.84682,1098815.79945,1061709.21197,1041155.32947,1023109.70365,986728.065419,952618.498032,1069746.67933,1908575.55009,2469579.98288,2483915.73746,2708244.25982,3355737.44431,3867008.11019,3884473.45681,6868437.02267,6919574.41979,7022674.49117,7594918.45678,7786816.91208,8059882.12388,8233716.72078,8480396.309,8733668.33106,9091971.37459,9341577.12451,9586250.19468,9995798.41434,10343239.4683,11212985.3643,11351092.393,11678085.5939,11911623.1314,12280011.3783,12347751.4346,11940828.998,4715957.22158
"Agriculture, forestry, fishing",343268.107225,363008.875475,400165.016306,410340.085647,353554.22183,362848.412952,385988.450746,365270.543471,360344.327644,358427.501887,816439.279801,854937.61376,909128.103612,896878.59445,923723.737618,892168.225937,872889.426361,873452.915734,867096.386854,904299.912736,1070916.50369,1060522.9422,1032186.34604,1120110.03955,1293615.31114,1609800.30675,1637476.51745,1797535.32967,1872260.40093,1806794.29041,1795413.87624,1791593.98529,1794823.33781,1839342.43239,2013203.48876,1979884.37055,1996138.26836,2148016.65199,2224314.30019,2222542.33521,2688942.17439,3995917.39271,4128480.21196,4404510.32178,4533125.72155,4717555.2002,4909129.14323,4771791.23784,2758518.59712
"Wholesale, retail trade, repairs, transport; accommodation, food services",837571.438322,895430.143826,910479.453142,948265.067327,952920.41271,953271.631791,1055508.09038,1062371.13042,1063209.29163,1076431.62812,1282549.61026,1275506.34198,1232114.76057,1207728.12288,1243092.32738,1329665.64438,1341142.8472,1341073.1315,1367081.24332,1507659.70376,2400641.47197,3037249.01344,3036143.3756,3473017.95042,4696263.96083,5490600.78636,5468233.60898,8104424.08391,8445638.40975,8498758.52786,9093140.9117,9153038.86422,9254555.34672,9413239.00911,9801449.56036,10208407.1672,10753842.2501,11185494.0624,11322795.6999,11128090.8279,12080399.0258,13587172.4905,14091954.2657,14714391.3327,15336294.2788,16065305.0698,16318825.3092,16289438.8813,9299778.72226
"Construction",323911.710615,356092.358083,366079.134291,370280.403716,340336.628538,367659.181833,386918.011624,381938.039802,399051.225175,395873.130564,488292.448602,455367.360839,445824.998078,430589.08125,413306.340327,411164.324403,429931.244102,444468.230666,455319.677318,498863.552146,832962.89881,1035189.79846,1057230.90229,1219488.15094,1662639.37308,1992287.25382,2011178.71289,2586751.22802,2660297.17842,2677851.39054,2734817.27343,2741290.83175,2779682.70181,2834176.55832,3007005.4038,3195255.25592,3460190.69901,3626862.11274,3608692.6584,3585110.41894,3824506.65348,4560094.75826,4710058.93814,4931028.49278,5160171.098,5346679.58068,5403434.42153,5478219.73567,3404021.1438
"Finance and insurance",148188.040787,169548.680956,178196.696901,197369.265055,214585.040403,207581.291895,232227.209713,221004.646704,229128.252813,236381.988309,292758.384155,291431.311771,295736.286826,311441.162306,321061.058988,332500.758412,353699.807866,361246.17477,374613.390633,483268.010094,732302.71645,881856.615229,879066.632175,1067421.75984,1332115.768,1701678.33083,1674167.1352,2676805.50059,2758190.97877,2817102.37801,2852253.27637,2956143.68117,3012984.33035,3088110.42262,3167967.73123,3407925.9594,3632671.73828,3888834.71255,3606119.50685,3912205.77935,4114863.60651,4185943.05892,4420427.27574,4592872.46057,4897701.04345,5337863.63253,5406479.3505,5224770.90971,3215258.50613
"Professional, scientific, support services",291618.257402,317938.688264,333836.634167,352031.703166,362731.315899,367430.644106,392457.438982,402534.936234,406362.30602,401956.416838,413046.650863,408494.974441,391050.140187,373201.42065,361508.187271,358964.493389,371125.467997,367168.185977,376820.067824,441736.685359,813809.074707,1135840.7031,1142969.37753,1224961.55833,1485696.77565,1706444.61812,1749930.33589,3227827.25953,3342706.74116,3472525.62356,3903877.03557,3968918.50172,4031330.30305,4070682.63707,4212953.55961,4408272.95494,4708032.72282,4947958.44804,5097580.09207,4892504.88925,4973147.15272,5113574.95795,5219462.68991,5401533.03086,5558100.66413,5785116.77349,5793436.41723,5720370.30819,2622304.44188
"Services",2425349.49259,2636586.02411,2728426.71013,2837859.18858,2881362.37153,2981727.88178,3280564.83885,3311247.15038,3380681.98965,3424853.84775,4002713.94991,4004699.7281,3970769.02218,3901635.72685,3917561.20846,4006230.90009,4052376.98176,4027443.23112,4046514.87407,4642503.33055,7722118.21421,10012778.0424,10142106.1637,11534370.637,15017154.6905,17293163.0624,17424015.5536,28514845.5137,29363061.225,30018844.5455,32524441.6979,33194983.4146,34088068.6915,34733177.2418,36018878.1398,37669621.8173,39674211.6421,41545169.7676,42010446.3846,42706281.3244,44881235.3134,49050111.756,50597906.0086,52786077.1343,54809667.8209,57670894.9347,58853212.106,58445879.618,31470254.9438
"Other services activities",93750.7732192,101971.246231,103455.600891,104937.423084,104307.256788,110241.820334,119996.710164,121514.436249,128840.496843,128025.824251,266872.653611,271141.977697,284973.845999,290036.19493,299214.875941,306242.584018,306533.923699,305016.729679,305215.601133,335864.851494,501965.478787,670982.908385,712123.008616,820242.675562,1150301.7584,1250747.88074,1274334.65358,1740636.48879,1828231.91452,1928935.47937,2098822.25307,2186964.02864,2363065.33108,2485262.8504,2631714.37527,2844292.0811,3075809.71646,3291747.3628,3439629.78058,3694606.13041,3926844.69663,4121842.8378,4429005.91511,4776633.51353,5160676.42111,5674477.5062,6156993.27543,6465504.75158,6041480.86476
