sector,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Agriculture, forestry, fishing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186851.0349641979,172037.48076862752,167131.88497435275,170928.04678086156,166798.53204000805,144370.36900311807,169762.2406051683,199690.41356412755,188514.24846722433,170645.7200373366,185431.73228264487,181822.08519542337,160995.47912095193,176871.27299449855,208303.1707017054,202348.96408768173,237754.50600434054,217649.2456406836,197133.2306669594,180467.4901533092,179303.92626866937,174767.9585657424
"Construction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552239.3820546147,592782.0328206966,628382.6613603754,667371.9115463776,677804.291567884,670215.1758748057,696554.980287808,758118.6671707392,823675.5946252914,858776.1874436605,858589.9231875782,750747.1832609556,649393.5179554644,593039.8367729421,576444.9901454519,595252.7905946522,622650.5848970263,663535.1183377493,719578.6319233039,763099.9804979892,782889.8391851184,763084.5672125889
"Industry, including energy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2680776.683717337,2619899.658179929,2645488.2485168083,2668768.852505365,2493850.1789079695,2400571.512558917,2460340.6498808432,2567306.4956679456,2678983.204633613,2823626.7129648076,2869110.1082932074,2808084.497151713,2562629.4204844413,2690851.132843362,2748374.9628789267,2749670.353174907,2810928.091460611,2869775.113642874,2783068.6342252223,2682520.9926772253,2779389.27038753,2709077.2575571532
"Manufacturing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2248395.1026617764,2235405.3413832556,2243554.023786747,2245976.9757495155,2056306.3063983202,2000266.0916993485,2026947.3805660156,2091079.0135083597,2144336.47804174,2215888.6190141807,2221809.581870733,2090816.8360195572,1949997.4342549024,2024543.831188696,2046616.4299729164,2069573.5801533135,2105055.1834602877,2131176.768677801,2196295.901411421,2134406.6302451184,2182134.548129947,2126931.6753332447
"Other services activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371700.7276361815,379787.46988168394,389731.4446790345,404869.8125053236,375101.03859170206,395657.7515572501,397986.39718509687,412679.2194018301,420944.86336137477,435024.5128305941,440177.4326582599,433087.9841189565,430130.5042323347,430815.61426353693,426811.8708247121,441262.3410013911,446920.97255402483,466062.0132951923,478096.1065864961,489701.1895926447,498588.6961566926,485975.57457104215
"Wholesale, retail trade, repairs, transport; accommodation, food services",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2345423.6749970005,2432931.29820775,2446606.2279603216,2507847.5647424962,2446201.149927946,2422988.620131811,2466484.4996902286,2560284.1783294696,2644557.2081475398,2728397.126093098,2723580.8587152297,2647187.573764257,2536260.3758334247,2601024.1986689335,2619897.7834586,2697808.529123941,2763697.247299032,2842126.3301591882,3009710.304642446,3032137.7621048163,3083249.9275888093,3005250.954657013
"Services",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10036258.352419952,10262730.698795902,10554543.644983748,10818608.259256339,10931441.880989427,11139927.108807415,11357077.685973782,11765604.18743639,12215370.205683848,12568586.993368143,12845517.803197563,12714070.215916505,12706463.045858596,12929444.903836757,12990328.999271227,13296679.05163498,13509962.468712328,13886371.340280136,14524999.503184527,14882433.448145965,15137883.68086256,14754930.820342539
"Finance and insurance",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923060.0887225394,979883.0984445787,1000515.6098052678,1059943.9718515158,1103989.8434959908,1092380.6310094227,1104090.4829573575,1111425.5110186501,1210085.4141413188,1253736.7580503367,1216710.6948968796,990299.3539938187,1091014.4327802788,1115081.8401177372,1108644.8296505217,1231993.9957804705,1192477.165554862,1306407.8513419558,1376127.0709436538,1430297.831322994,1442618.0270410902,1406123.1832610741
"Information, communication",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725386.3602414407,777590.2736301103,841758.3275133249,801684.4065650104,818086.4770999689,852165.2120300266,857730.417365924,918065.908557944,935309.8660453918,940655.3070604089,1005038.2970187608,1030303.0855596462,1008078.7882334837,1042392.0458403974,1044548.0116663188,1050509.837802815,1110888.6353288025,1114749.256159644,1202821.9013015542,1292254.8400193285,1338325.7921462376,1304469.2966667505
"Public administration, defence, education, health, social work",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2774263.882361456,2764759.4664104176,2817932.2780959713,2865884.522058374,2937087.6174108004,3052719.018247965,3159130.2749877134,3272333.48137157,3344592.743584846,3440989.140752583,3530882.4944341127,3630886.1964447903,3778462.491860212,3837099.113999457,3824745.5875728624,3826449.250907963,3873221.535267698,3916457.7950409222,4027118.420721128,4107506.4367094724,4146256.0224115653,4041365.4949306194
