sector,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Agriculture, forestry, fishing",488512.32704195526,526623.2703053901,573294.9145763298,593367.4985824645,630121.7799576923,607271.864460635,601844.9991952436,623362.6418458779,626889.3516362866,622140.237537348,680692.5227355453,652429.3939863743,642951.1228607342,648092.9069119629,720377.2083869214,773891.1680426367,808709.5958932204,796052.4844094511,799662.0001812396,791025.6396866479,771209.0286286226,787761.3636285733,810919.9176331969,827203.5506386968,956360.7376722998,969418.0306769625,1004374.1588254339,1105676.5629818367,1183394.631645276,1231835.3882283573,1309279.4373388991,1398739.913838818,1492460.889973482,1578955.0521503717,1646733.6632660346,1721110.7055147635,1778432.578496465,1761811.835812888,1786189.8390005135
"Construction",69914.67614343524,70243.45275331612,71480.42146520817,81493.1756381013,86492.10442510812,99297.7002567345,113803.65347330268,128706.28953327467,131664.28015583596,116106.20354997476,115878.29365862302,124296.11079577176,155405.61131639453,211265.6483850277,223425.9834580804,238109.0764905768,253495.3480815799,255136.12220876047,269479.25048628007,277493.9389826147,285598.56824532175,296808.31352684874,317885.78639490076,357465.24447585957,389522.23948172113,449783.29190744716,520234.25782532146,595776.6683627916,665811.4841744443,806119.9132739604,900831.4436571411,998547.5617812928,1088665.0819385578,1180679.7466701649,1285947.4698064674,1340789.080722061,1415401.7806880905,1507152.9156168716,1634647.4809580338
"Industry, including energy",717631.5892073755,698280.7079713063,704159.5670512168,719581.4415655832,766131.2263311171,823723.3265036949,863466.0664062004,891071.7240750905,942977.6930944154,951732.5116267671,928519.0370485017,993953.6296336334,1133346.3035596153,1326173.827353004,1471060.8178579733,1595848.0111397656,1703998.845840982,1820428.1770328174,1842308.6856447258,1929019.129887561,2077721.8427875258,2189337.595611482,2342976.303441585,2634956.9023423083,2938079.9772881437,3371504.28621225,3854232.1400627387,4335719.287102349,4663314.238006839,4908032.206138224,5456891.897367375,5918010.330256007,6164018.2062988635,6418827.420317779,6700617.102707182,6800933.03969562,7058874.5922847185,7583698.066818701,8070627.624557494
"Manufacturing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285350.4964360935,2573410.8542777137,2947861.8067731243,3364216.691686049,3600520.851769651,3941466.654944204,4391378.5531047,4744796.9314717185,5010353.8342184685,5250475.050161876,5605049.627962743,5820756.343439874,6102369.415112682,5968157.034062879,5817176.695172018
"Other services activities",131103.37385837248,136164.23149104352,151379.79148746497,160466.87142577922,173310.69681910626,181284.01990586738,182500.2263929921,183023.23599248598,185883.75398694706,192499.15596735524,201808.69826331158,226204.9983343311,252995.8195935072,298390.9726077797,339692.0848607984,360954.9168215616,394772.98539278633,467869.91414442414,547318.6723926117,633331.4832364905,727197.7422174147,847712.1001039578,971787.6526436443,1082714.0037852428,1194679.2924031918,1371989.3212599137,1541130.4225418055,1727088.552675542,1878500.603322349,2126594.195036923,2262523.0364673943,2449291.46507974,2733139.1558431094,3040063.8491925793,3390264.740492412,3870691.784002154,4357272.30244363,4729350.363690793,5185832.386579436
"Wholesale, retail trade, repairs, transport; accommodation, food services",161911.42014674304,170880.7071787399,155024.77687806453,163826.17789301046,217359.36528851508,322664.2418311477,326929.21350532764,350003.9801659918,390986.7949885122,383058.59015702666,368196.31894778897,451579.4832035831,512808.9246259592,530793.4238247566,569710.6700943204,588203.4593307417,618539.0361077312,663586.5462317949,721144.3928094284,782429.1068049644,849818.3056707747,918096.4313194118,991330.3141080404,1057070.6270845497,1135673.6300724386,1246821.513772992,1400217.01721459,1595065.0951065603,1740535.0725728273,1865219.635761781,2062117.592315486,2248347.6616277187,2452888.91399499,2672038.2512337673,2924950.6348081324,3129444.336284506,3351988.448169459,3529097.6586009525,3723083.660345439
"Services",357907.5805223542,371716.1944498795,384271.77839125734,411485.04842808604,497540.4572576126,624488.5179513671,660311.545233395,704365.6564270448,760532.3263202088,815587.3778321409,812855.9055923334,916972.3594807654,1048886.493925359,1134667.506318143,1245489.9810825428,1303971.9575516172,1377767.1248350157,1522691.2737072494,1686676.7275629635,1853176.8210996343,2040729.2418265147,2260550.623825433,2497316.740482364,2720777.4978632736,2945016.8276741905,3310142.090847848,3790521.714210235,4447227.500389998,4789119.458838355,5440636.803909521,5952203.289949791,6482251.189768007,7146325.105276191,7940227.770316354,8741124.81210795,9863456.827267556,10822182.70670911,11510693.816986965,12319182.427876517
"Finance and insurance",30558.732618985032,30934.135924056525,42126.99929312362,50659.541278157245,62712.897357620124,69577.06733944328,86545.16412439667,97566.11611061737,106817.06690149497,157452.904600619,153800.6318409738,145913.8877544545,162376.34047904538,177080.05754321956,192397.10546705147,204692.04885550664,213408.11422948004,230208.491229178,232848.85447085067,240215.51601905652,249586.51892808525,259357.1997756348,272008.34649541933,287212.48213751777,294215.36460274115,323028.34468560916,415837.2433635272,589010.7136263024,648316.2144175895,774723.1215544437,848653.9201554267,930385.5797953655,1038277.2805062518,1189173.222479283,1337083.942202354,1664174.1781639175,1740577.7735038258,1781838.6174293824,1827497.6939789671
"Information, communication",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Public administration, defence, education, health, social work",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
