sector,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Agriculture, forestry, fishing",816439.2798011042,854937.6137600732,909128.1036117708,896878.5944497789,923723.7376183654,892168.2259372565,872889.4263613623,873452.915733841,867096.3868543054,904299.9127355771,1070916.5036883622,1060522.9421962998,1032186.3460368494,1120110.0395549785,1293615.3111409368,1609800.3067548296,1637476.5174468795,1797535.3296743485,1872260.4009257592,1806794.2904136667,1795413.8762403843,1791593.9852892945,1794823.3378084423,1839342.4323946328,2013203.4887649831,1979884.3705502546,1996138.2683583053,2148016.6519901347,2224314.300190897,2222542.335207237,2688942.174393411,3995917.3927088003,4128480.211955553,4404510.321776368,4533125.721553878,4717555.200203823,4938069.205769847,4986565.685291686,4939426.35167355
"Construction",488292.44860204787,455367.3608385087,445824.9980784065,430589.0812497567,413306.3403269579,411164.32440255675,429931.2441017976,444468.2306655278,455319.6773179259,498863.55214636837,832962.898810018,1035189.7984601118,1057230.902291054,1219488.1509422872,1662639.373077871,1992287.2538196782,2011178.712891848,2586751.2280218527,2660297.178415575,2677851.3905411,2734817.273425824,2741290.831747284,2779682.701807416,2834176.558320845,3007005.4037975892,3195255.2559213326,3460190.6990100658,3626862.1127383797,3608692.6584040355,3585110.4189411746,3824506.6534815566,4560094.758256334,4710058.938136927,4931028.492777226,5160171.098002985,5346679.580682675,5530577.728916696,5770944.381503515,5861773.451626071
"Industry, including energy",2219781.7793006976,2179014.074347362,2133343.00325561,2119525.2160302107,2169710.264505506,2209031.3600433716,2193878.21156905,2162771.2945936043,2188890.310958681,2374516.4310905826,3495110.2060363414,4583955.171069849,4577351.438792492,5230261.196736956,6771562.68997249,8102006.040593939,8113631.436970556,11184142.815390656,11202361.809551911,11263151.096162204,11715631.388884466,11506566.181732763,11522777.344277378,11870282.432530047,12597748.400912402,13433408.096051944,14459199.16309405,15212217.894520128,15447161.361155052,14671167.67787057,16694422.8754973,18894390.626157135,19177795.195794504,19673317.343898285,20184869.93937752,20511321.559188604,20915673.910246383,21931233.598286163,22291786.041610762
"Manufacturing",1241317.6474051345,1197534.0245983596,1153635.599897809,1126279.1368829645,1125811.731173648,1103106.2940098955,1090653.5538835656,1060212.4476283698,1053772.291403819,1161981.9922922645,2117016.2527718185,3012414.412489063,2876773.9939760454,3162419.3090644823,4409773.43850716,5410243.179229553,5293397.525409607,7749830.462502445,7823962.157515039,7751471.587466109,7933045.481593703,7586852.7833508905,7471985.517725861,7495921.468253686,10044057.243183922,10496467.393631838,11195327.523439314,11836144.580222078,11782626.900263254,11386221.649922414,12820633.570858141,14385163.056620622,14705532.475347036,15137284.85408224,15751544.001123074,16571160.105484152,17038626.242162466,17214858.181256443,16937932.76218588
"Other services activities",266872.6536106774,271141.97769654746,284973.84599910956,290036.19492963457,299214.8759407099,306242.5840180666,306533.9236993425,305016.72967865306,305215.6011332221,335864.8514942202,501965.4787871043,670982.9083853486,712123.0086163565,820242.6755621355,1150301.7584047145,1250747.880741538,1274334.6535828067,1740636.4887943342,1828231.9145208132,1928935.4793741317,2098822.2530685603,2186964.02864191,2363065.331081599,2485262.85039943,2631714.3752672523,2844292.0810973467,3075809.716458934,3291747.3627954912,3439629.780577952,3694606.1304071336,3926844.6966341236,4121842.8378048907,4429005.9151130095,4776633.513530676,5160676.421109941,5674477.506198217,6189945.978472625,6595318.407295184,7022769.562286519
"Wholesale, retail trade, repairs, transport; accommodation, food services",1282549.610255226,1275506.3419773518,1232114.76056627,1207728.1228802875,1243092.3273824963,1329665.6443793974,1341142.847195067,1341073.1314998162,1367081.243317669,1507659.703762713,2400641.4719672687,3037249.0134418732,3036143.3756036083,3473017.9504163195,4696263.960827663,5490600.786357621,5468233.608975192,8104424.083905148,8445638.409748076,8498758.527861504,9093140.911697226,9153038.864220541,9254555.346720349,9413239.009112077,9801449.560362237,10208407.167216372,10753842.25011124,11185494.062445212,11322795.699868418,11128090.827936225,12080399.025767256,13587172.490478965,14091954.265742144,14714391.332700014,15336294.278849479,16065305.06978037,16593204.08017557,17191806.477451567,17249216.504516616
"Services",4002713.9499098696,4004699.728098768,3970769.0221797726,3901635.7268450693,3917561.2084642854,4006230.9000879647,4052376.9817570252,4027443.231121597,4046514.8740694285,4642503.33054714,7722118.21421122,10012778.04241047,10142106.163748536,11534370.637005255,15017154.690457014,17293163.062356133,17424015.55358563,28514845.51373226,29363061.224962942,30018844.545460597,32524441.697910894,33194983.41459715,34088068.691542074,34733177.2417601,36018878.139761485,37669621.817343235,39674211.64207033,41545169.76762229,42010446.38460336,42706281.32439258,44881235.31344507,49050111.75603091,50597906.00859839,52786077.13429428,54809667.82094874,57670894.93465294,59981988.65686207,61921666.08540758,62057313.76371826
"Finance and insurance",292758.3841553532,291431.31177074334,295736.28682609514,311441.1623055736,321061.0589875435,332500.75841209077,353699.8078661749,361246.1747699617,374613.39063341287,483268.0100938835,732302.716450493,881856.6152294462,879066.632174925,1067421.7598353024,1332115.7680000889,1701678.3308278788,1674167.1352010886,2676805.5005910345,2758190.978769679,2817102.3780061114,2852253.276372508,2956143.681165771,3012984.3303503343,3088110.422623273,3167967.7312312694,3407925.95940448,3632671.738280188,3888834.712552559,3606119.5068474994,3912205.7793460274,4114863.606506221,4185943.058923739,4420427.275744051,4592872.460569681,4897701.043452296,5337863.632526502,5523787.771396109,5591074.526746969,5552425.664279415
"Information, communication",189205.86027315145,186484.89200620045,187774.91521482685,183711.1170874162,184259.7114264949,186363.3077159546,193377.69303468242,192784.8764007493,189651.240390681,221134.9047149687,411124.7397237214,536585.8923902739,541236.4994434011,616008.8117339003,781060.8206864337,966907.5543065425,1018827.4268243614,1842839.5341921854,1983015.0907654553,2084752.7813761316,2123965.1554901116,2207446.8187494385,2287445.375285379,2284813.8217556,2404179.5385617763,2465663.4012990785,2533872.350431077,2659377.7965807645,2679359.311083645,2641756.755049258,2749014.37522177,2770011.3931542533,2788442.829790015,2889727.5799023327,2914717.189519907,3047188.3451455925,3181573.2866369383,3284539.576778796,3254856.046113498
"Public administration, defence, education, health, social work",1136793.5488385598,1140729.4628171436,1142869.8468213577,1098815.7994501542,1061709.2119719808,1041155.3294740665,1023109.7036493461,986728.065419084,952618.498031645,1069746.6793313418,1908575.5500899244,2469579.982884984,2483915.737459015,2708244.2598188855,3355737.44430516,3867008.11018817,3884473.456812184,6868437.022673468,6919574.419787912,7022674.491169255,7594918.45677865,7786816.91207727,8059882.123882701,8233716.720782228,8480396.309003633,8733668.331055416,9091971.374594012,9341577.12451182,9586250.194680417,9995798.414338822,10343239.468261143,11212985.364254838,11351092.392977983,11678085.593916541,11911623.131413288,12280011.378297513,12666500.880487476,12943353.418266755,12769529.621366952
