sector,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Agriculture, forestry, fishing",372624.4655919528,472569.3227149843,499067.3553286821,511661.1712858117,581079.4852199362,702819.9049275598,926924.1434896456,996273.1352497269,1145831.5260060618,1243305.7859834458,1243297.4302200398,1284910.024122109,1328554.1907190955,1367385.800944694,1435304.9323908552,1608081.5177120836,1622667.692762466,1679240.1398821217,1852347.100281992,1988850.8351184188,1997164.0961801459,2459563.844466303,3758710.5456676027,3969913.131126743,4302879.7697096355,4504834.937238232,4717555.200203823,4963905.206205513,4933540.645425382,47317.16621164675,49334.900683308035,53132.6269734102,58799.99584177902,153744.00735505787,180312.07082401164,212231.41014764985,231440.59755207878,259566.3702707607,269865.2754020662,282040.61188575934,307948.66519982694,335830.15914313594,2926046.1900419593,25085.85477655195,28045.735381094637,32513.355553403304,36072.90255100733,35459.22570255879,40711.30165445988
"Construction",205560.96700210433,367566.20295013,487145.93001713004,524075.91309726966,632633.8680643304,903310.3087538342,1147160.3953504483,1223640.9502619156,1648913.964622495,1766614.7682897423,1842692.2035538696,1957205.6199796544,2032800.6526041173,2117700.7104354394,2211609.7153961994,2401898.188877891,2618757.716882238,2910866.048474304,3127632.884702801,3226680.423147308,3221560.1458421936,3498259.7905609696,4289397.045188294,4529154.523435069,4817248.955129186,5127966.986197459,5346679.580682675,5463725.942810088,5663914.950049099,47431.11829089196,51586.079407799276,58839.94353154152,64942.947481742085,91950.54631323108,96040.0273621591,104075.61667641361,111114.02912339721,116139.08163187519,124370.01275609637,138915.72917859798,156703.80840412262,176347.26889984516,3610750.7518808856,23671.299377668103,27511.371541448316,29743.88207082184,32551.265126149017,34133.58568793399,41251.06607429487
"Industry, including energy",978439.6788205388,1542306.8532348103,2157145.586528593,2269021.4877883587,2713302.601031231,3678983.2378993635,4665140.749578218,4936494.016155338,7129285.982685231,7439115.439075166,7750437.827004863,8384435.705721253,8532679.193527894,8778625.61518225,9262807.525242524,10062671.995825797,11009712.307137964,12163720.324437557,13118291.08944059,13811941.851340674,13183429.116795499,15270316.818199016,17772776.14149001,18441212.520134907,19219371.28484171,20058898.18457286,20511321.559188604,20853349.766285613,21840388.76956399,169619.93712559162,184843.29970115153,204362.53097939483,231745.75837331833,418007.9947728261,459568.6676741567,498018.25739500584,546946.0254268551,609688.5843260472,668193.3283643192,708867.2797573931,762516.8126470058,847766.6296626343,14912923.815239323,75802.71631819739,87045.43826106211,93273.44927350679,105758.5077264408,123385.02050603445,138128.0394517032
"Manufacturing",478804.5567709621,934187.6171516359,1417600.3499570196,1426034.7048126883,1640568.2649633817,2395825.4993675016,3115221.809770602,3220607.863730208,4940097.654017287,5195632.730865892,5333968.983770576,5677381.575361958,5626020.818585235,5692530.672282343,5849336.625259062,8022866.493994913,8602663.257070601,9418006.585259194,10206926.501887042,10535330.977490975,10231595.011779042,11726978.398539588,13531226.691704592,14140720.91348066,14788004.115902176,15653240.190166466,16571160.105484152,17051976.2263759,11035440.191313108,147058.75618047488,158657.67930598705,175085.66025040095,195892.71134002678,233753.02270991987,252567.94926575883,269310.46261814405,290637.6828076132,316353.09645979514,333670.3495778482,352402.7057756497,373793.48353436193,408130.53968155215,4902687.560624075,68079.03661668989,78269.10515924475,83534.47593488508,95033.48835079397,111171.05612435684,120934.91229947304
"Other services activities",138395.96690943112,221505.11783106675,315755.2300237185,353003.79053378134,425517.2928013691,624957.7950395229,720181.505254494,775330.4350659205,1109561.5931723444,1214067.9343105184,1327345.6404475574,1502047.960922228,1621740.332386171,1800300.8498714496,1939339.8231030046,2102127.912246285,2331116.3709495203,2587507.6994366664,2838645.909325626,3075514.355598728,3319952.37898952,3591867.9585790373,3877160.7667142656,4258896.213024757,4666416.516512767,5128469.155633436,5674477.506198217,6225693.006396676,6684665.966144476,14710.036708886044,16412.22581754176,18997.479723268243,21002.62366586012,50254.896150488115,57185.65974745243,66525.71947926213,74844.18814502611,84079.3801393395,92633.02242024483,99044.6358873801,107538.1317941354,118211.31474598178,6408386.039153529,6851.257756455398,7878.205689985705,8405.754123201235,9225.024727731869,10461.350289407903,12369.044048028649
"Wholesale, retail trade, repairs, transport; accommodation, food services",621243.9960429078,1059344.5059272398,1429287.1679644587,1505035.0953756373,1801697.5221374743,2551475.513653708,3161491.776205268,3326981.598725964,5166131.904146593,5608467.228154652,5848194.613971054,6507618.139089335,6787424.070812219,7050581.139987828,7345488.334090581,7829079.361706642,8366575.720885692,9046609.571389481,9645836.531385971,10124177.002155617,9999640.100674855,11049889.043153498,12780606.680947406,13550709.077108093,14374868.524211029,15240581.999884607,16065305.06978037,16500910.762030233,16841601.99106497,129391.57027574546,143488.09435928328,156769.784766403,176588.50094958988,241517.43012700573,269012.83341551473,287631.0302803929,311655.6913830056,349308.9439944815,402200.58827599103,433338.67707146885,472815.04628529324,529476.4439862794,9864563.583844159,61209.285175408855,69180.11807057976,73976.33720546783,83361.76396777318,95571.81870416389,106956.31446967988
"Services",1912982.9586302587,3407582.348246985,4711874.169143578,5027504.906428364,5983685.455359217,8158805.126170605,9957415.396518804,10601116.058309458,18176671.361862022,19499031.1695591,20656669.372693803,23276516.751742817,24615696.79761608,25969988.315037586,27103545.122808386,28770709.24450193,30873155.640192717,33375708.368306477,35826572.70299955,37563266.74182027,38375625.24292376,41052672.951896355,46138384.30693588,48654536.57482953,51568080.63328215,54467606.165044986,57670894.93465294,59509896.24671481,60427019.59937304,402154.60190033156,447230.2851194729,498480.20710101497,561846.9312381312,753752.6649931076,844618.0041442084,926956.174382757,1006821.7812752423,1100834.6995784643,1211814.7382358578,1309369.605140985,1419934.3145474165,1567232.6107410481,33381474.99677442,177243.27973682052,203700.236929609,221684.31550258023,249475.54856076263,288982.2051456924,334547.4829530452
"Finance and insurance",199134.6913372705,323147.3205833212,414989.4653200257,435758.77978222974,553746.3863497599,723737.1646386803,979827.574065524,1018596.4335656192,1706318.6914492026,1831622.7812413508,1938514.0665016507,2041250.1399512852,2192124.503781692,2295441.509480536,2409763.4259371124,2530469.664756273,2793057.7340308456,3055964.756866474,3353545.558689538,3224379.6625840804,3515486.204967976,3763848.046957732,3937455.8512769905,4250647.0628945455,4486895.6028400045,4867134.981010215,5337863.632526502,5466804.847092467,5401874.96923384,28468.03695711469,29849.771602376986,33784.86922594151,38778.441543920744,55129.448423648224,61464.81624223864,69038.15747811778,80367.76566234803,90218.15757549973,100575.66065638524,114284.47546935157,127362.64923391912,145089.37702990053,3410524.370461706,10829.504962916451,13099.176801334315,14478.45845762763,17350.6866960593,21521.50620818541,23290.454885616895
"Information, communication",91120.51713449293,181419.31619642902,252509.86241495865,268294.2884403905,319566.89126319555,424349.5628181187,556746.0466049952,619874.7792629926,1174710.5054287184,1316854.2873748164,1434567.1720800004,1520041.7882979112,1636929.318762782,1742689.8016720908,1782922.2499320959,1920380.4795681434,2020801.013446495,2131605.9251149814,2293320.5594503544,2395725.2817075723,2373867.826249435,2514511.6282535396,2605577.1458304124,2681344.038739157,2823049.4277781504,2896526.731011832,3047188.3451455925,3144912.1126483884,3213527.1449408233,20243.414577558233,22841.603290232804,25887.6582549106,29230.645528271776,35629.43123038126,39330.91317288412,43835.115082325254,47406.874217748256,51776.97891084507,56371.63922619124,62482.55646297579,67969.14211276725,73452.74090364443,1417982.5717996522,8557.29879982856,10012.343402716006,10918.264283695007,12302.633189706294,14029.057296532737,16695.609849916975
"Public administration, defence, education, health, social work",440798.2120652537,842207.8210112615,1162150.0127839113,1231292.431336006,1404955.8746662433,1823168.7977535492,2226625.976752025,2363390.563698977,4378257.019511409,4595058.950352973,4832466.647956658,5435396.81109066,5774303.9582889145,6140419.58410361,6425064.747656649,6773864.958752058,7157913.689761405,7648570.0038375165,8055730.518950154,8571460.293946762,8982168.478653746,9460916.665688755,10547356.763166333,10915118.501239244,11408623.111305393,11837283.882612452,12280011.378297513,12485527.645059802,12345587.278542219,119903.99056326746,133966.9434819818,151458.3858440471,171133.1676211499,214070.04789920876,240587.48659553647,266797.2513912119,283550.7356270716,298340.28856412665,314931.2669476393,330578.5110106957,347885.48436605977,368953.24054719764,5002362.019599394,48544.65691269215,56532.81682260424,62349.71248370295,68612.92275081953,80029.0095427738,98608.56488496052
