"Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: October 29, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    1","    Gross domestic product",8577.6,9062.8,9630.7,10252.3,10581.8,10936.4,11458.2,12213.7,13036.6,13814.6,14451.9,14712.8,14448.9,14992.1,15542.6,16197.0,16784.9,17527.3,18224.8,18715.0,19519.4,20580.2
"    2","Private industries",7432.0,7871.5,8378.3,8929.3,9188.9,9462.0,9905.9,10582.5,11326.4,12022.6,12564.8,12731.2,12403.9,12884.1,13405.5,14037.5,14572.3,15255.9,15883.9,16326.1,17065.8,18035.6
"    3","  Agriculture, forestry, fishing, and hunting",108.6,99.8,92.6,98.3,99.8,95.6,114.0,142.9,128.3,125.1,144.1,147.2,130.0,146.3,180.9,179.6,215.6,201.0,180.7,164.3,174.6,166.5
"    4","    Farms",88.1,79.0,70.9,76.0,78.1,74.0,91.1,119.4,104.5,96.3,115.7,119.5,103.1,117.6,152.2,148.9,184.6,168.1,146.0,129.0,139.4,129.6
"    5","    Forestry, fishing, and related activities",20.5,20.7,21.7,22.3,21.7,21.6,22.8,23.6,23.9,28.9,28.4,27.8,26.9,28.7,28.7,30.6,31.0,32.9,34.6,35.3,35.1,36.9
"    6","  Mining",95.1,81.7,84.5,110.6,123.9,112.4,139.0,166.5,225.7,273.3,314.0,392.2,275.8,305.8,356.3,358.8,386.5,416.4,259.9,215.6,287.3,346.6
"    7","    Oil and gas extraction",55.1,39.1,44.1,68.2,76.1,69.9,92.9,113.0,156.0,178.9,205.9,271.5,172.9,188.8,218.1,223.8,255.1,278.3,156.5,136.4,187.9,236.8
"    8","    Mining, except oil and gas",26.5,29.0,29.3,28.5,28.1,27.3,29.2,33.6,42.9,51.8,58.0,61.3,61.6,69.5,76.4,66.6,62.1,58.7,49.9,47.3,57.7,60.6
"    9","    Support activities for mining",13.5,13.6,11.1,13.8,19.7,15.2,16.9,19.9,26.8,42.6,50.1,59.4,41.4,47.5,61.9,68.4,69.3,79.4,53.4,32.0,41.7,49.3
"    10","  Utilities",171.5,163.7,179.9,180.1,181.3,177.6,184.0,199.2,198.1,226.8,231.9,241.7,258.2,278.8,287.5,279.7,286.3,298.1,299.2,302.4,315.1,325.9
"    11","  Construction",339.6,379.8,417.6,461.3,486.5,493.6,525.2,584.6,651.8,697.1,715.3,648.9,565.6,525.1,524.4,553.4,587.6,636.9,695.6,745.5,790.4,839.1
"    12","  Manufacturing",1382.9,1430.6,1488.9,1550.2,1473.8,1468.5,1524.2,1608.1,1693.4,1793.8,1844.7,1800.8,1702.1,1797.0,1867.6,1927.1,1991.9,2050.2,2126.5,2101.2,2185.1,2321.2
"    13","    Durable goods",823.8,850.7,874.9,924.8,833.4,832.8,863.2,905.1,956.8,1004.4,1030.6,999.7,881.0,964.3,1015.2,1061.7,1102.0,1134.1,1184.0,1190.5,1230.7,1296.4
"    14","      Wood products",26.8,27.5,29.4,28.3,27.2,27.3,28.7,32.6,34.7,31.7,29.1,25.6,21.2,23.3,23.6,25.8,30.5,30.9,32.4,35.2,38.8,40.5
"    15","      Nonmetallic mineral products",39.8,40.8,43.2,42.6,41.3,41.8,42.0,45.3,48.8,50.5,50.2,44.7,38.9,38.4,38.8,42.6,47.1,49.5,54.5,57.3,59.3,61.7
"    16","      Primary metals",48.1,49.0,46.2,47.0,40.3,41.7,39.3,55.0,56.3,62.7,64.5,68.8,41.1,50.9,62.5,65.5,62.3,64.1,59.8,56.6,58.1,63.9
"    17","      Fabricated metal products",110.0,111.7,116.0,121.3,110.9,106.1,108.5,114.7,122.4,126.8,134.8,133.1,117.4,119.9,127.2,137.6,141.6,143.9,147.1,145.7,149.5,159.8
"    18","      Machinery",102.2,113.8,111.1,113.1,105.4,98.9,97.4,104.1,114.4,121.9,129.5,131.6,118.6,127.2,144.5,152.5,158.2,160.9,152.1,143.3,148.1,155.7
"    19","      Computer and electronic products",195.3,191.7,186.6,225.4,173.5,172.9,193.5,201.5,211.3,224.1,228.3,232.1,223.7,239.8,237.1,240.4,244.0,251.2,270.0,274.1,280.9,297.3
"    20","      Electrical equipment, appliances, and components",46.9,40.6,44.6,45.7,44.3,43.7,45.6,42.1,43.2,51.4,50.3,55.5,50.7,50.7,48.2,52.0,58.0,54.4,63.5,58.3,63.6,66.4
"    21","      Motor vehicles, bodies and trailers, and parts",112.0,123.9,134.7,137.5,125.0,135.2,143.2,139.1,136.0,134.1,124.9,90.3,47.8,88.7,104.2,115.3,122.8,132.5,145.8,154.8,158.1,162.4
"    22","      Other transportation equipment",62.5,66.8,73.8,71.1,76.9,73.0,72.6,75.9,89.7,96.3,114.2,114.5,117.4,120.6,126.8,126.5,133.1,139.1,148.6,147.8,152.2,161.7
"    23","      Furniture and related products",27.9,29.7,31.6,33.5,31.2,31.2,30.4,31.0,33.7,34.5,32.5,27.8,22.8,21.8,22.0,22.4,24.0,25.7,29.1,30.2,29.3,30.2
"    24","      Miscellaneous manufacturing",52.3,55.3,57.7,59.2,57.5,61.0,62.2,63.9,66.3,70.5,72.2,75.5,81.3,83.0,80.3,81.2,80.4,81.7,81.1,87.2,92.8,96.8
"    25","    Nondurable goods",559.1,579.9,614.1,625.4,640.5,635.7,661.0,703.0,736.6,789.4,814.1,801.1,821.2,832.7,852.4,865.3,889.9,916.1,942.5,910.6,954.4,1024.8
"    26","      Food and beverage and tobacco products",135.2,140.0,161.8,163.2,174.2,175.6,178.9,175.8,178.7,193.9,194.1,199.1,237.8,223.2,209.2,219.3,227.9,238.5,260.8,263.4,264.0,268.9
